source_file,n_events,n_chars,backspace_count,duration_sec,wpm,avg_hold_sec,std_hold_sec,avg_flight_sec,std_flight_sec,max_idle_sec
1401114972.068_001_014.csv,1028,1019,0,1401115872.7973,8.7273295788071e-06,0.15215014605647517,0.0634296902233528,0.851037524132236,0.9621427126158089,9.884599924087524
1401117235.067_001_014.csv,824,813,11,897.963,10.86459018912806,0.19267609223300974,0.07813144701188704,1.078442214111922,1.295172968073837,9.844899999999939
1401978395.067_003_014.csv,825,815,7,901.3702,10.850147919245611,0.20907224242424244,0.07511179204242603,1.0526071776155717,1.074816562117356,8.731699999999933
1401980765.068_003_014.csv,1169,1134,0,1401981662.8966,9.706261044730674e-06,0.1705830318690784,0.10406170208652496,0.7682135274557218,0.789061359837264,9.45609998703003
1402930351.011_001_014.csv,2529,2391,21,1402931070.5005002,2.04514680751664e-05,0.11106491228070174,0.06335210634739823,0.28387974683619754,0.29024656058672915,7.398799896240234
1402932300.060_001_014.csv,914,888,6,1402933202.6963,7.595514868077976e-06,0.13662163355408388,0.11273332820589604,0.9861377875880631,0.9542442062400023,8.409000158309937
1403706430.011_003_014.csv,2538,2416,14,1403707161.1283,2.0653880526402832e-05,0.11116317246835442,0.07069626986451935,0.2814786671087945,0.3505475285755037,9.25379991531372
1403708258.060_003_014.csv,950,940,7,1403709161.0291,8.035852663190076e-06,0.1271872497365648,0.0545609040694077,0.9254157339255182,0.8156017001640447,7.104499816894531
1403792224.074_001_014.csv,2408,2176,38,1403792944.2744,1.8601033796687806e-05,0.13065775535939472,0.08353285012374152,0.29339846222973426,0.3619705556416116,4.295199871063232
1403795516.072_001_014.csv,1235,1106,55,1403796288.4236002,9.45436322167788e-06,0.18150787977254262,0.11003596150367191,0.626055834745472,0.5242861990918893,3.6458001136779785
1403797570.077_001_014.csv,1212,1164,0,842.3499,16.582182772266016,0.07752559867877787,0.10454954516282153,0.6955344343517754,0.7508393154540303,6.8851999999999975
1404311419.070_001_014.csv,519,508,0,918.6450000000001,6.635860424864881,0.18201734104046244,0.07195535702969932,1.3628655445544555,1.5551070611848479,9.651100000000042
1404313658.081_001_014.csv,902,818,0,1404314561.6317,6.989886930029837e-06,0.15429910414333706,0.1589274342238379,0.980680089108273,1.2411568417994285,9.67929983139038
1404743687.070_003_014.csv,647,641,1,1404744588.4319,5.475728515591926e-06,0.1866278637770898,0.05210618583480451,1.2915846876800061,1.5666936070811306,9.943899869918823
1404745424.081_003_014.csv,1035,861,96,1404746338.3736,7.355064553478229e-06,0.14126598240469207,0.15440372264210916,0.8633822676285293,1.2194734633784774,9.34279990196228
1404747197.074_003_014.csv,2595,2375,25,1404747982.6687,2.0288336663674375e-05,0.13857790335151987,0.07803643962411784,0.29896498259733045,0.3595873547669516,7.645900011062622
1404819923.080_001_014.csv,1110,1026,15,1404820820.5988,8.764107008858291e-06,0.15747132551848514,0.06846478071748041,0.8086131650977999,0.796997636350522,9.343499898910522
1404828566.083_001_014.csv,1445,1347,39,1404829302.9447,1.150602423092842e-05,0.08999707520891363,0.06192920633845886,0.5102205679357217,0.805084679855336,9.13349986076355
1404830509.082_001_014.csv,469,441,25,899.9286999999999,5.8804658635734155,0.09151428571428571,0.02348560908181506,1.8445316129032259,1.5266959497225787,8.656999999999996
1404832986.072_003_014.csv,1224,1103,54,1404833834.1417,9.421754856927042e-06,0.18466453201970442,0.09956774328827342,0.6786531096784651,0.5722047203085188,4.055700063705444
1404834530.077_003_014.csv,1246,1177,6,828.7007,17.04354780923921,0.08089502008032129,0.1093621197620367,0.6525654340836012,0.6210388602949998,7.448800000000006
1407163319.084_001_014.csv,1212,1168,0,1407164101.1292999,9.960458761527284e-06,0.08131430934656741,0.0487481320957167,0.5175518737446756,0.9268740339652789,8.168699979782104
1407165254.085_001_014.csv,1304,1262,4,728.41,20.79048887302481,0.09864271472392638,0.03726092530670848,0.5589706062931696,0.5351790240002097,6.703800000000001
1407421738.075_001_014.csv,2401,2329,14,1407422460.806,1.9857577080299538e-05,0.1680913611462284,0.043874444466887944,0.29432492715311626,0.2597177022160592,3.864500045776367
1407423449.076_001_014.csv,3311,2980,112,1407424178.6292999,2.5408118279470594e-05,0.13061807044410412,0.06033174752270417,0.22003350452353948,0.3010483515651528,6.326600074768066
1407425493.082_003_014.csv,583,562,18,895.5999,7.530148228020123,0.09694116638078902,0.04863519174733918,1.5239003442340793,1.3267032765597464,7.194299999999998
1407427375.083_003_014.csv,1507,1420,30,1407428095.2035,1.2107190454753703e-05,0.0957189494680851,0.04733242774104997,0.4583280107139034,0.647987969190931,7.7769999504089355
1408029544.097_001_014.csv,1203,1107,43,1408030425.9664,9.434455218453496e-06,0.170381734006734,0.08068509440825926,0.6674058527053399,1.0203540263858348,9.876700162887573
1408372533.088_001_014.csv,1208,1041,29,1408373255.7273002,8.86980773683393e-06,0.15270291666666666,0.1026988124154933,0.5349828474329076,0.666761293315475,6.807800054550171
1408374282.089_001_014.csv,1840,1725,34,1408375001.071,1.4697789995035885e-05,0.1445848952590959,0.06725729312338304,0.38290680090413387,0.48043524649432034,7.055499792098999
